Influencer ID,Category,Tiktok Category,Related Influencer ID,Follower Count, Average View Count
magpiejay,Art,Art,juliakimikodesign,165997,11565
magpiejay,Art,Art,.tylerfunk,193380,16552
magpiejay,Art,Art,ulovecaleb,167113,5554
magpiejay,Art,Art,sandycheekless,203605,7071
magpiejay,Art,Art,cocoliciousss,149119,6736
magpiejay,Art,Art,mcflurrr,380979,19975
magpiejay,Art,Art,corinagnz_,51786,63257
magpiejay,Art,Art,sreyahalder_,399915,134428
magpiejay,Art,Art,valeriiafranklin,17747,25751
makeshift_chronicles,Art,Tutorials|Art,pernillastryker,334696,20360
makeshift_chronicles,Art,Tutorials|Art,quakeroakess,129108,1640
makeshift_chronicles,Art,Tutorials|Art,clearstarstudios,112183,1749
makeshift_chronicles,Art,Tutorials|Art,chirppie,114919,924
makeshift_chronicles,Art,Tutorials|Art,artsyfartsysamm,140428,6917
makeshift_chronicles,Art,Tutorials|Art,glogallery,118516,8416
makeshift_chronicles,Art,Tutorials|Art,madisonisartsy_,187154,341657
makeshift_chronicles,Art,Tutorials|Art,jobsxdesign,44023,2457
makeshift_chronicles,Art,Tutorials|Art,danvillefamilyvet,212923,25863
misssie,Art,Art,kuitsuku,199360,48288
misssie,Art,Art,baesdart,558310,9603
misssie,Art,Art,drawingislife88,277311,342318
misssie,Art,Art,taiyoutori,267435,185845
misssie,Art,Art,_good_vibes_art_,506840,188709
misssie,Art,Art,fumukiart,239753,9197
misssie,Art,Art,wah.ah.ah,365750,172775
misssie,Art,Art,ekg.arts,180351,438395
misssie,Art,Art,kidg0han,319697,279640
mysweetadeline,Art,Other Performance|Makeup|Art,badmoodrude,279309,144247
mysweetadeline,Art,Other Performance|Makeup|Art,ajnugent_,658009,6047
mysweetadeline,Art,Other Performance|Makeup|Art,testyourintuition,238159,31852
mysweetadeline,Art,Other Performance|Makeup|Art,gigi.kimmie,447595,31041
mysweetadeline,Art,Other Performance|Makeup|Art,nikaleverett,348402,4972
mysweetadeline,Art,Other Performance|Makeup|Art,ally_cruz,1627044,106729
mysweetadeline,Art,Other Performance|Makeup|Art,magic_everyday_,1149266,31309
mysweetadeline,Art,Other Performance|Makeup|Art,worldofglass,2331990,14069
mysweetadeline,Art,Other Performance|Makeup|Art,littlehalloqueen,312672,10720
pandoramonrose,Art,Dance|Art,detailsandswirls,611457,11200
pandoramonrose,Art,Dance|Art,angelicaramosss,192252,10673
pandoramonrose,Art,Dance|Art,jaealise,200632,11411
pandoramonrose,Art,Dance|Art,_erikka.k_,137418,2291
pandoramonrose,Art,Dance|Art,e.boyli.eric,259756,13608
pandoramonrose,Art,Dance|Art,haleyrosefergiee,319740,14880
pandoramonrose,Art,Dance|Art,nicholasholmanart,239190,13229
pandoramonrose,Art,Dance|Art,theaphroditevenuss,738801,26466
pandoramonrose,Art,Dance|Art,dandydemon,155077,101177
rachelkuperman,Art,Pop Culture|Art|Pets,lulubs_draw,150824,2376
rachelkuperman,Art,Pop Culture|Art|Pets,mmuzzy,156901,52869
rachelkuperman,Art,Pop Culture|Art|Pets,shnozzy_,101609,3071
rachelkuperman,Art,Pop Culture|Art|Pets,samantha_sketch,542179,139345
rachelkuperman,Art,Pop Culture|Art|Pets,clever_kitten,151231,7552
rachelkuperman,Art,Pop Culture|Art|Pets,noplayerlies,295888,17637
rachelkuperman,Art,Pop Culture|Art|Pets,dianamayrice,149979,9493
rachelkuperman,Art,Pop Culture|Art|Pets,madexlala,295088,404405
rachelkuperman,Art,Pop Culture|Art|Pets,toomanyjasmins,246743,19015
rebelrebel911,Art,Art|Vlog,keanupagano,116682,3748
rebelrebel911,Art,Art|Vlog,conniecantu,72646,14486
rebelrebel911,Art,Art|Vlog,whatdojumean,192273,2011
rebelrebel911,Art,Art|Vlog,itsjustjulia,206475,37024
rebelrebel911,Art,Art|Vlog,imchasecopeland,357977,79300
rebelrebel911,Art,Art|Vlog,bokutos_babyraven,136738,12767
rebelrebel911,Art,Art|Vlog,maggietbh,239297,17894
rebelrebel911,Art,Art|Vlog,matchamanz,477446,110693
rebelrebel911,Art,Art|Vlog,jeremiah.taylorr,221783,1292
savannalore,Art,Vlog|Education|Art,sailormoonie_,107563,13181
savannalore,Art,Vlog|Education|Art,rachelfayecarter,482241,17223
savannalore,Art,Vlog|Education|Art,superpotlady,196148,5202
savannalore,Art,Vlog|Education|Art,artistjessicasixsmith,158183,17293
savannalore,Art,Vlog|Education|Art,fauxshmoe,553169,626063
savannalore,Art,Vlog|Education|Art,brandonjohnsontaxidermy,175547,56338
savannalore,Art,Vlog|Education|Art,shizue_calligraphy,217427,16903
savannalore,Art,Vlog|Education|Art,theartge,448931,2109
savannalore,Art,Vlog|Education|Art,abdel.art,424669,109198
shreddedmilitary,Art,Transition|Art,itsthescotts,4525194,2014745
shreddedmilitary,Art,Transition|Art,officialkjb,1052688,249257
shreddedmilitary,Art,Transition|Art,fluellenfam,2188941,2727454
shreddedmilitary,Art,Transition|Art,sarbeeston,2975959,2429160
shreddedmilitary,Art,Transition|Art,mr_mrs_wash,4200523,307392
